"","time","fingerprint","age","race","gender"
"113",1658265320.56263,"6ec1b1c9266dcf252e5236d0bc404776",43,"Asian","Male"
"114",1658266144.41363,"16279268d5423713dfcc9d692157d912",28,"White, Hispanic","Female"
"115",1658266265.0736,"6ef6ae60e5543a620ff3bd865755cb7e",22,"White","Female"
"116",1658266266.39664,"8889a076c45548132dfb788945425f38",21,"White","Female"
"117",1658266342.57214,"5c0c3c4e6589cdeb71d64c5aa829ebea",24,"White","Female"
"118",1658266381.43996,"afa11007660b1c4569366e5ce840acfd",NA,"Asian","Male"
"119",1658266410.9673,"2d20250f085c82eed95b17a1825ca080",24,"White","Female"
"120",1658266430.3937,"5cc2a916198a8079e1556a82f4ebeb1e",39,"White","Female"
"121",1658266441.69435,"04fdfea89aa26371678380a6702b3aea",37,"White","Female"
"122",1658266676.7387,"1e9ed5b625e61f104fe7c3453a8470c2",48,"White","Female"
"123",1658266739.80445,"4eee6112c1a688ece3f12fff487e105e",31,"White","Female"
"124",1658266882.99124,"45bc2cef2623be90af501c342fe09fd7",24,"White","Male"
"125",1658269774.68637,"48e9fdd74931e927ca0af4791dc1ea79",25,"White","Male"
"126",1658320129.7991,"aa9533aa8f5098473e0afb8c49b06509",39,"White","Female"
"127",1658321001.29739,"7807df15790725c0862111e726ac5874",33,"White","Male"
"128",1658321144.25643,"7a2033d15fefe61ae35bd765c401303d",57,"White, American Indian or Alaska Native","Female"
"129",1658321193.50946,"5822caf020846720765020aa313cfd62",39,"White","Male"
"130",1658321265.32464,"c61530964514909afc4e90c799f2caf8",NA,"White","Female"
"131",1658321393.65438,"8f285a765da682ab2f140354cd2ee221",21,"Asian","Male"
"132",1658321551.74478,"630bd2fef3ca60ce9a0ddc246e5dedf6",22,"White","Male"
"133",1658321707.45853,"8df406b3b6ee44f5cd82fd84c70f7c46",35,"White","Female"
"134",1658321772.78822,"58957e223b9a8d65be1069d46af8fd28",76,"Black or African American","Male"
"135",1658321879.28523,"3e12103e7e65ef7d753ca53b45921c35",56,"White","Male"
"136",1658321879.5207,"917cacf464ee4dae7a33deee5e6b5ff9",73,"White","Male"
"137",1658321989.95675,"2a851bbaa2f9d8908ac3baeb1266e941",27,"White","Male"
"138",1658322063.27147,"e7f5429e49dbaeedc95fb8ce768841c7",58,"Black or African American","Male"
"139",1658322093.39258,"14f85b5b548e17aa84e960e9b6c766a4",65,"White","Female"
"140",1658322114.94193,"7f89390aa4c9b0e4d676bb5ff5c313e3",31,"Black or African American","Female"
"142",1658322344.37452,"cdf2b9366787e7625b22167ebd420da7",32,"White","Male"
"143",1658322413.29467,"4b1f7e9e5c29642bb2c45e8f027effcf",28,"White","Female"
"144",1658322422.76231,"9bef2a9ba0a8847b1d854041b5657ced",37,"Black or African American","Female"
"145",1658322481.17427,"b20aa732e06842e56bd3f3b4173dc436",25,"White","Female"
"146",1658322878.73363,"697d678ea2d2c14122e62f548c9cd094",49,"White","Other/non-binary"
"147",1658322944.43266,"7b5a14bb609409751213806770099c6a",25,"White","Male"
"148",1658323011.93697,"a2bf766343822c1c486819a4f9710ce5",52,"White","Male"
"149",1658323066.25677,"48189a737e867783cab222628c003a05",32,"White","Female"
"150",1658323122.91797,"bea4e780a88fefbd15a50cbc254b9218",33,"White","Other/non-binary"
"151",1658324127.78012,"c9a722545db3546ea40b13dc0b9c4254",39,"White","Male"
"152",1658324421.98444,"a678a4b0c3a3c3aa2fd11cb6a0e8ef6e",NA,"White","Female"
"153",1658324434.92492,"21df59a6368ccfa6232cf443f265413d",51,"White","Male"
"154",1658324478.31025,"b8b7972f5f14c1db5fa6b3f287243cb1",27,"White","Female"
"155",1658324524.98153,"08b825057bf29036830ebce974675527",47,"White","Female"
"156",1658324579.16509,"38d46e878fc358a476a59e31a6e3b0bb",30,"White","Male"
"157",1658324597.29851,"fa94007195bee9b226bc4dffa593c8eb",29,"White","Male"
"158",1658324831.41495,"aacdcb7f0e97d7132a512b10b64e5631",60,"White","Female"
"159",1658324852.13359,"930cb2b17cc7f481fbce02ba2ba7f780",47,"White","Female"
"160",1658324867.7401,"9dec1ba62debc5cbe097e06e5038b2ff",39,"White","Female"
"161",1658324871.28561,"d10db9594b64970464d5f0c856c8d788",29,"White","Male"
"162",1658324873.58884,"a9478aad4eefe2901f1d0b0a37d6160f",45,"White","Female"
"163",1658324917.59753,"55ee88b3c5ade41dc72c1d29f4129bca",59,"White","Female"
"164",1658324942.87065,"3ea2c991d04f65bf3cc4685117b5f640",61,"White","Female"
"165",1658325791.37768,"e4552fa0aab7bfc2a85e417f1b94a5b3",32,"White","Male"
"166",1658325856.28156,"53f86fe6dc83ffabcde647d2a14eae02",30,"White","Female"
"167",1658325902.13967,"e74cab9beff673a6dc7d0ae47ec2b0f7",55,"White","Male"
"168",1658325951.62428,"558754dc05a21bdc90830343e8ed5967",NA,"Black or African American","Male"
"169",1658326116.3273,"e83f2b25d7604ac28a28219ab10ccbd3",58,"Black or African American","Female"
"170",1658326118.58204,"50491a715bb2c8f1f79e2a9472341e25",51,"Hispanic","Male"
"171",1658326163.86952,"8b9aba96363aca8a0050ead3f75eacc9",36,"White","Male"
"172",1658326174.87771,"bca200d69a398bfccbadb23e71b3efe1",28,"White","Female"
"173",1658326212.53417,"7999e6838a6a5ce24c4455114b22b21f",NA,"Black or African American","Male"
"174",1658326262.27278,"036bbda3348a536b1c74c79455cb61b8",40,"White","Male"
"175",1658326267.85115,"bac744abc40332efc2ec7573ce0cbe6d",NA,"White","Male"
"176",1658326329.02401,"0999d3e11bc533a603a701a66a9f9c35",32,"White","Female"
"177",1658326505.88269,"1d0279d90658c6d83f85dc64859f4878",34,"White","Male"
"178",1658328052.21028,"15419cea877235709afe9c355cb7afce",61,"White","Female"
"179",1658328096.26047,"3d3ab949a9f38f47ce704df005311b9a",NA,"White","Female"
